product_name,price,sku,unit_size,unit_type
POLVILHO AZEDO 55LBS,0.01,,55LBS,CASE
FLORIDA,0.01,,,CASE
CANADA,0.01,,,CASE
MINANCORA 12/30G,0.01,,12/30G,UNIT
MTA PIPOQUERIA CEREIJA #22/4.8 3030,0.01,,4.8L,UNIT
PAIXAO OLEO DEO CORPAL 12/200ML,0.01,,12/200ML,CASE
BAKERS BOX 9*9*3 W/ WINDOW,0.01,,200,CASE
BUTCHER COST,0.01,,,UNIT
TRUCKING FEE,0.01,,,UNIT
Frize Orange Mineral Water,0.01,,,CASE
INCA COLA VIDRO,0.01,,24/11OZ,CASE
NASTOS LAVA CAKE 12CT,0.01,,12 PC,CASE
LEGACY FOODSERVICE ALLIANCE,0.01,,,UNIT
LUMP FEE,0.01,,,UNIT
MACARONI AND CHEESE 6/76oz,0.01,,6/76OZ,CASE
PALLETS BROWN,0.01,,,UNIT
PALLET AZUL,0.01,,,CASE
NASTOS TIRAMISU CUPS 12CT,0.01,,12CUPS,CASE
TRIDENT GUM SPEARMINT 12PK,0.01,012546011068,12PK,UNIT
TRIDENT GUM ORIGINAL 12PK,0.01,012546011082,12PK,UNIT
TRIDENT GUM TROPICAL TWIST 12PK,0.01,012546011105,12PK,UNIT
TRIDENT GUM WATERMELON TWIST 12PK,0.01,012546011129,12PK,UNIT
TRIDENT GUM BUBBLEGUM 12PK,0.01,012546011433,12PK,UNIT
TRIDENT GUM MINTY SWEET TWIST 12PK,0.01,012546011556,12PK,UNIT
TRIDENT GUM PINEAPPLE TWIST 12PK,0.01,012546011570,12PK,UNIT
TRIDENT GUM WINTERGREEN 12PK,0.01,012546011617,12PK,UNIT
RED FOOD COLOR,0.01,052100306506,16OZ,UNIT
APTI MARIA MOLE COCO 12/50G,0.01,1050190225,12/50G,CASE
MATCHES 11'' 1/40CT,0.01,616833947223,1/40CT,UNIT
SKIRT STEAK IBP 6PCS,0.01,,6PC,CASE
SKIRT STEAK PC,0.01,,,UNIT
SKIRT STEAK PEELED IBP,0.01,,,CASE
SKIRT STEAK SWIFT / 5STAR,0.01,,,CASE
PICANHA SWIFT CH 1PC,0.01,,12-15 /1PC,CASE
PICANHA SWIFT SEL 2PC,0.01,,,CASE
ALCATRA IBP 5 PC,0.01,,5 PCS,CASE
ALCATRA PECA,0.01,,PC,UNIT
ALCATRA IBP SELECT XT 5PC,0.01,,5PC,CASE
ALCATRA NATIONAL 5 PC,0.01,,5PC,CASE
ALCATRA SWIFT SELECT XT 5PCS,0.01,,5 PC,CASE
109 RIB PECA,0.01,,20 LBS.,UNIT
PICANHA AMH FZ 1PC,0.01,,12-15/1PC,CASE
PICANHA AMH 1PC BLACK,0.01,,,CASE
RIBEYE BONEIN FRENCHED 12X12,0.01,,2 PCS,CASE
RIBEYE SWIFT,0.01,,5 PCS,CASE
CHUCK ROLL BONELESS,0.01,,,CASE
GOOSENECK,0.01,,4,CASE
ALCATRA IBP CH XT,0.01,,5PC,CASE
TRIPA LINGUICA FINA BRASILEIR 22/24,0.01,,,UNIT
TRIPA LINGUICA BRASILEIRA 32/35,0.01,,,UNIT
TRIPA 3842 HOG CASSING,0.01,,1,UNIT
BEEF HEART CORACAO VACA NAT ~20LB,0.01,,20 lbs,CASE
DOBRADA BIBLE TRIPE 20LBS,0.01,,20LBS,CASE
BOLA PEELED CAIXA,0.01,,6 PCS,CASE
BRISKET CASE,0.01,,3 PCS,CASE
CHINCHOLIN (BEEF SMALL INTESTINES),0.01,,1,CASE
CHUCK COM OSSO SEMI BONE-IN CHUCK,0.01,,1,CASE
SHOULDER CLODS SEM GORDURA,0.01,,3 PCS,CASE
CARNE COARSE GRIND TUBES,0.01,,8,CASE
CUPIM AMH SACO FZ,0.01,,10,CASE
EXPORT RIB COM OSSO,0.01,,3,CASE
EYE ROUND (LAGARTO),0.01,,12,CASE
FIGADO DE VACA CAIXA FZ,0.01,,1,CASE
FLAP SWIFT 3PC,0.01,,3pc,CASE
BOTTOM ROUND (FLATS),0.01,,4,CASE
FIGADO DE VACA CAIXA FRESCO S&D,0.01,,1,CASE
HAMBURGER BEEF 6 OZ. 27CNT,0.01,,27CNT,CASE
HANGING TENDERS,0.01,,3,CASE
LINGUA VACA FRIZADA (BEEF TONGUE),0.01,,7,CASE
MAO DE VACA (BEEF FEET) IBP CAIXA,0.01,,8,CASE
ALMONDEGAS (MEATBALLS) .5 OZ,0.01,,,CASE
MUSCULO DE VACA C OSSO CAIXA,0.01,,,CASE
MUSCULO DE VACA SEM OSSO CASE,0.01,,4 PACK,CASE
MUSCULO DE VACA COM OSSO (SHIN MEAT,0.01,,,UNIT
SIRLOIN FLAP HEARTLAND,0.01,,3,CASE
PISMO STX CHOICE,0.01,,,CASE
BOLA PEELED PECA,0.01,,1 PC,UNIT
BRISKET PECA,0.01,,1 PC,UNIT
CARNE COARSE GRIND TUBES,0.01,,1,UNIT
EXPORT COM OSSO PECA,0.01,,1PC,UNIT
EYE ROUND (LAGARTO) PC,0.01,,1,UNIT
FIGADO DE VACA PECA FZ,0.01,,1,UNIT
PISMO IBP (FILETMIGNON) CAIXA,0.01,,12 PCS,CASE
LINGUA VACA FRIZADA (BEEF TONGUE),0.01,,,UNIT
MUSCULO DE VACA SEM OSSO PECA,0.01,,,UNIT
PISMO PECA,0.01,,1 PC,UNIT
RIBEYE PECA,0.01,,1PC,UNIT
SHELL PECA,0.01,,PC,UNIT
COSTELA VACA 3 BN NATIONAL PECA,0.01,,1 PC,UNIT
COSTELA VACA 4 BN IBP CHOICE CAIXA,0.01,,4 X4PC,CASE
TBONE PECA,0.01,,,UNIT
TOP ROUND PECA,0.01,,,UNIT
RABO DE VACA INTEIRO CONGELADO,0.01,,15 lbs.,CASE
SHELL IBP CHOICE 0X1,0.01,,5PC,CASE
SHELL CHAIRMANS RESERVE CH 0X1,0.01,,5PC,CASE
SHELL IBP 5 PC,0.01,,5 PC,CASE
COSTELA VACA 3 BN NATIONAL CAIXA,0.01,,3 PCS,CASE
COSTELA VACA 3 BN NATIONAL SEL CX,0.01,,3 PCS,CASE
COSTELA VACA 4 BN NATIONAL PECA,0.01,,,UNIT
COSTELA VACA 4 BN NATIONAL CH CAIXA,0.01,,,CASE
TBONE CAIXA,0.01,,,CASE
TOP ROUND CAIXA,0.01,,3 PCS.,CASE
TRIPA 3840 CHOURICA PORTUGUESA,0.01,,,UNIT
TRIPA PARA SALPICAO 55-60,0.01,,,UNIT
DOBRADA 15 LBS. SWIFT,0.01,,15 LBS.,CASE
DOBRADA 44 LBS.,0.01,,44 LBS.,CASE
TRI-TIPS BEEF (MAMINHA),0.01,,,CASE
VEAL OSSO BUCO FZ,0.01,,,CASE
VEAL BHS (SIRLOIN) FZ,0.01,,,CASE
VEAL TONGUE (LINGUA VITELA),0.01,,,CASE
VEAL LOIN (COSTELETAS VITELA) PC FZ,0.01,,10 LBS.,UNIT
VEAL BONES (OSSOS DE VITELA) FZ,0.01,,,CASE
VEAL CHUCK (PESCOSO VITELA) CX FZ,0.01,,1 pc,CASE
VEAL HEARTS FZ,0.01,,,CASE
VEAL LOIN (COSTELETAS VITELA) CX FZ,0.01,,2 PCS,CASE
VEAL SHOULDER SLICE FZ,0.01,,,CASE
VEAL TAILS (RABO DE VITELA) FZ,0.01,,,CASE
VEAL FM TENDERLOINS FZ,0.01,,,UNIT
COSTELA DE PORCO ST. LOUIS FZ,0.01,,,CASE
BABY BACK RIBS IBP FZ,0.01,,12-14PC,CASE
CLEAR BELLIES BARRIGA S/O AURORA 55,0.01,,55.12 LBS,CASE
BARRIGA DE PORCO C OSSO 4 PC,0.01,,4PC,CASE
CLEAR BELLIES BARRIGA S/O PATEL FZ,0.01,,~60LBS,CASE
BUTTS SEM OSSO CAIXA,0.01,,,CASE
PERNAS DE PORCO CALIS,0.01,,,CASE
CLEAR BELLIES BARRIGA S/O CAIXA,0.01,,4 PCS,CASE
CORACAO DE PORCO BALDE 40 LBS.,0.01,,40 LBS.,CASE
COSTELA DE PORCO IBP LT FZ,0.01,,,CASE
COSTELA DE PORCO IBP,0.01,,,CASE
TORNOZELO DEFUMADO (JOELHO) CAIXA,0.01,,,CASE
FAT BACK,0.01,,,CASE
FEBRAS PORCO IBP CX 3PC VAC/~30LBS,0.01,,30 LBS.,CASE
FUCINHO DE PORCO (SNOUTS),0.01,,15LB,CASE
COSTELA DE PORCO HATFIELD,0.01,,7pc,CASE
LACONS frescos (fresh SHANKS),0.01,,,CASE
LACONS DEFUMADOS (SMOKED SHANKS),0.01,,,CASE
LEITAO FRESCO 10-17lb,0.01,,10-17LBS,CASE
LEITAO 10-17 FROZEN,0.01,,10-17LBS,CASE
